Filter,ITK,SITK,Remark,ToDo
OtsuThresholdImageFilter,True,True,,False
PadImageFilter,True,False,,False
ParallelSparseFieldLevelSetImageFilter,True,False,,False
ParametricImageSource,True,False,,False
PasteImageFilter,True,True,,False
PatchBasedDenoisingImageFilter,False,True,,False
PermuteAxesImageFilter,True,True,,False
PhysicalPointImageSource,True,False,,False
PipelineMonitorImageFilter,True,False,,False
PowImageFilter,True,True,,False
ProjectedLandweberDeconvolutionImageFilter,True,True,,False
PyImageFilter,True,False,,False
RGBToLuminanceImageFilter,True,False,,False
RandomImageSource,True,False,,False
RankImageFilter,False,True,,False
RealAndImaginaryToComplexImageFilter,False,True,,False
RealToHalfHermitianForwardFFTImageFilter,True,True,,False
ReconstructionByDilationImageFilter,True,True,,False
ReconstructionByErosionImageFilter,True,True,,False
RecursiveGaussianImageFilter,True,True,,False
RecursiveMultiResolutionPyramidImageFilter,True,False,,False
RecursiveSeparableImageFilter,True,False,,False
RegionOfInterestImageFilter,True,True,,False
RegionalMaximaImageFilter,False,True,,False
RegionalMinimaImageFilter,False,True,,False
ReinitializeLevelSetImageFilter,True,False,,False
RelabelComponentImageFilter,True,True,,False
RenyiEntropyThresholdImageFilter,True,True,,False
ResampleImageFilter,True,True,,False
RescaleIntensityImageFilter,True,True,,False
RichardsonLucyDeconvolutionImageFilter,True,True,,False
RoundImageFilter,True,False,,False
STAPLEImageFilter,True,True,,False
SaltAndPepperNoiseImageFilter,True,True,,False
ScalarChanAndVeseDenseLevelSetImageFilter,False,True,,False
ScalarConnectedComponentImageFilter,True,True,,False
ScalarImageKmeansImageFilter,True,True,,False
ScalarToRGBColormapImageFilter,True,True,,False
SegmentationLevelSetImageFilter,True,False,,False
ShanbhagThresholdImageFilter,True,True,,False
ShapeDetectionLevelSetImageFilter,True,True,,False
ShapePriorSegmentationLevelSetImageFilter,True,False,,False
ShapeRelabelImageFilter,True,False,,False
ShiftScaleImageFilter,True,True,,False
ShotNoiseImageFilter,True,True,,False
ShrinkImageFilter,True,True,,False
SigmoidImageFilter,True,True,,False
SignedDanielssonDistanceMapImageFilter,True,True,,False
SignedMaurerDistanceMapImageFilter,True,True,,False
SimilarityIndexImageFilter,True,True,,False
SimpleContourExtractorImageFilter,True,True,,False
SinImageFilter,True,True,,False
SliceBySliceImageFilter,True,False,,False
SliceImageFilter,False,True,,False
SmoothingRecursiveGaussianImageFilter,True,True,,False
